destination,origin,count
CZ,RO,134.0
CZ,RS,94.0
CZ,RU,66.0
CZ,SE,209.0
CZ,SI,188.0
CZ,SK,72.0
CZ,TR,110.0
CZ,UA,62.0
CZ,UK,416.0
DE,DK,842.0
DE,EE,712.0
DE,EL,980.0
DE,ES,1528.0
DE,FI,839.0
DE,FR,1089.0
DE,HR,726.0
DE,HU,725.0
DE,IE,797.0
DE,IL,690.0
DE,IS,680.0
DE,IT,1285.0
DE,LT,692.0
DE,LU,689.0
DE,LV,694.0
DE,ME,678.0
DE,MK,686.0
DE,MT,681.0
DE,NL,986.0
DE,NO,780.0
DE,PL,774.0
DE,PT,873.0
DE,RO,755.0
DE,RS,715.0
DE,RU,687.0
DE,SE,830.0
DE,SI,809.0
DE,SK,693.0
DE,TR,731.0
DE,UA,683.0
DE,UK,1037.0
DK,EE,204.0
DK,EL,472.0
DK,ES,1020.0
DK,FI,331.0
DK,FR,581.0
DK,HR,218.0
DK,HU,217.0
DK,IE,289.0
DK,IL,182.0
DK,IS,172.0
DK,IT,777.0
DK,LT,184.0
DK,LU,181.0
DK,LV,186.0
DK,ME,170.0
DK,MK,178.0
DK,MT,173.0
DK,NL,478.0
DK,NO,272.0
DK,PL,266.0
DK,PT,365.0
DK,RO,247.0
DK,RS,207.0
DK,RU,179.0
DK,SE,322.0
DK,SI,301.0
DK,SK,185.0
DK,TR,223.0
DK,UA,175.0
DK,UK,529.0
EE,EL,342.0
EE,ES,890.0
EE,FI,201.0
EE,FR,451.0
EE,HR,88.0
EE,HU,87.0
EE,IE,159.0
EE,IL,52.0
EE,IS,42.0
EE,IT,647.0
EE,LT,54.0
EE,LU,51.0
EE,LV,56.0
EE,ME,40.0
EE,MK,48.0
EE,MT,43.0
EE,NL,348.0
EE,NO,142.0
EE,PL,136.0
EE,PT,235.0
EE,RO,117.0
EE,RS,77.0
EE,RU,49.0
EE,SE,192.0
EE,SI,171.0
EE,SK,55.0
EE,TR,93.0
EE,UA,45.0
EE,UK,399.0
EL,ES,1158.0
EL,FI,469.0
EL,FR,719.0
EL,HR,356.0
EL,HU,355.0
EL,IE,427.0
EL,IL,320.0
EL,IS,310.0
EL,IT,915.0
EL,LT,322.0
EL,LU,319.0
EL,LV,324.0
EL,ME,308.0
EL,MK,316.0
EL,MT,311.0
EL,NL,616.0
EL,NO,410.0
EL,PL,404.0
EL,PT,503.0
EL,RO,385.0
EL,RS,345.0
EL,RU,317.0
EL,SE,460.0
EL,SI,439.0
EL,SK,323.0
EL,TR,361.0
EL,UA,313.0
EL,UK,667.0
ES,FI,1017.0
ES,FR,1267.0
ES,HR,904.0
ES,HU,903.0
ES,IE,975.0
ES,IL,868.0
ES,IS,858.0
ES,IT,1463.0
ES,LT,870.0
ES,LU,867.0
ES,LV,872.0
ES,ME,856.0
ES,MK,864.0
ES,MT,859.0
ES,NL,1164.0
ES,NO,958.0
ES,PL,952.0
ES,PT,1051.0
ES,RO,933.0
ES,RS,893.0
ES,RU,865.0
ES,SE,1008.0
ES,SI,987.0
ES,SK,871.0
ES,TR,909.0
ES,UA,861.0
ES,UK,1215.0
FI,FR,578.0
FI,HR,215.0
FI,HU,214.0
FI,IE,286.0
FI,IL,179.0
FI,IS,169.0
FI,IT,774.0
FI,LT,181.0
FI,LU,178.0
FI,LV,183.0
FI,ME,167.0
FI,MK,175.0
FI,MT,170.0
FI,NL,475.0
FI,NO,269.0
FI,PL,263.0
FI,PT,362.0
FI,RO,244.0
FI,RS,204.0
FI,RU,176.0
FI,SE,319.0
FI,SI,298.0
FI,SK,182.0
FI,TR,220.0
FI,UA,172.0
FI,UK,526.0
FR,HR,465.0
FR,HU,464.0
FR,IE,536.0
FR,IL,429.0
FR,IS,419.0
FR,IT,1024.0
FR,LT,431.0
FR,LU,428.0
FR,LV,433.0
FR,ME,417.0
FR,MK,425.0
FR,MT,420.0
FR,NL,725.0
FR,NO,519.0
FR,PL,513.0
FR,PT,612.0
FR,RO,494.0
FR,RS,454.0
FR,RU,426.0
FR,SE,569.0
FR,SI,548.0
FR,SK,432.0
FR,TR,470.0
FR,UA,422.0
FR,UK,776.0
HR,HU,101.0
HR,IE,173.0
HR,IL,66.0
HR,IS,56.0
HR,IT,661.0
HR,LT,68.0
HR,LU,65.0
HR,LV,70.0
HR,ME,54.0
HR,MK,62.0
HR,MT,57.0
HR,NL,362.0
HR,NO,156.0
HR,PL,150.0
HR,PT,249.0
HR,RO,131.0
HR,RS,91.0
HR,RU,63.0
HR,SE,206.0
HR,SI,185.0
HR,SK,69.0
HR,TR,107.0
HR,UA,59.0
HR,UK,413.0
HU,IE,172.0
HU,IL,65.0
HU,IS,55.0
HU,IT,660.0
HU,LT,67.0
HU,LU,64.0
HU,LV,69.0
HU,ME,53.0
HU,MK,61.0
HU,MT,56.0
HU,NL,361.0
HU,NO,155.0
HU,PL,149.0
HU,PT,248.0
HU,RO,130.0
HU,RS,90.0
HU,RU,62.0
HU,SE,205.0
HU,SI,184.0
HU,SK,68.0
HU,TR,106.0
HU,UA,58.0
HU,UK,412.0
IE,IL,137.0
IE,IS,127.0
IE,IT,732.0
IE,LT,139.0
IE,LU,136.0
IE,LV,141.0
IE,ME,125.0
IE,MK,133.0
IE,MT,128.0
IE,NL,433.0
IE,NO,227.0
IE,PL,221.0
IE,PT,320.0
IE,RO,202.0
IE,RS,162.0
IE,RU,134.0
IE,SE,277.0
IE,SI,256.0
IE,SK,140.0
IE,TR,178.0
IE,UA,130.0
IE,UK,484.0
IL,IS,20.0
IL,IT,625.0
IL,LT,32.0
IL,LU,29.0
IL,LV,34.0
IL,ME,18.0
IL,MK,26.0
IL,MT,21.0
IL,NL,326.0
IL,NO,120.0
IL,PL,114.0
IL,PT,213.0
IL,RO,95.0
IL,RS,55.0
IL,RU,27.0
IL,SE,170.0
